Freq,S11_re,S11_im
1.106000000000000050e+01,3.602464455336696291e-04,-2.697515398105853994e-03
1.107000000000000028e+01,-1.063950871338345311e-04,3.559801712543316475e-03
1.108000000000000007e+01,8.779025004948385648e-04,9.728529632338493716e-03
1.108999999999999986e+01,3.163995941487059062e-03,1.504173846939872196e-02
1.109999999999999964e+01,6.314616287739647539e-03,1.876564357553086107e-02
1.110999999999999943e+01,9.606544523446029424e-03,2.028778876960272981e-02
1.111999999999999922e+01,1.205447930645456821e-02,1.920616962002183112e-02
1.113000000000000078e+01,1.245620943731561708e-02,1.541604996901277044e-02
1.114000000000000057e+01,9.459247105787674248e-03,9.192607825788172426e-03
1.115000000000000036e+01,1.651218820383322560e-03,1.268303896562414075e-03
1.116000000000000014e+01,-1.232004306406404327e-02,-7.097321624653543486e-03
1.116999999999999993e+01,-3.358653981970705082e-02,-1.406251396263448646e-02
1.117999999999999972e+01,-6.284764842400168694e-02,-1.718002850920071281e-02
1.118999999999999950e+01,-1.000964087623049670e-01,-1.343912478909205406e-02
1.119999999999999929e+01,-1.442932434686571563e-01,5.739066126343098226e-04
1.121000000000000085e+01,-1.930350093067175477e-01,2.832980176950040604e-02
1.122000000000000064e+01,-2.423300578903728741e-01,7.277219634838158480e-02
1.123000000000000043e+01,-2.866564944923193359e-01,1.355142825432611720e-01
1.124000000000000021e+01,-3.194945793591508210e-01,2.159792134616483616e-01
1.125000000000000000e+01,-3.344065262686128914e-01,3.108163153458983752e-01
1.125999999999999979e+01,-3.264633821555443793e-01,4.139837743559512395e-01
1.126999999999999957e+01,-2.935193603152992381e-01,5.176907787238528291e-01
1.127999999999999936e+01,-2.367664473986894891e-01,6.139670206967914323e-01
1.128999999999999915e+01,-1.603099412628603004e-01,6.962590550942518997e-01
1.130000000000000071e+01,-7.000128189489369934e-02,7.604484791512010622e-01
1.131000000000000050e+01,2.792498955120882934e-02,8.050441020473515508e-01
1.132000000000000028e+01,1.279195153934393758e-01,8.307150368029978527e-01
1.133000000000000007e+01,2.256829990732777402e-01,8.395296433322605445e-01
1.133999999999999986e+01,3.182808946456966992e-01,8.342189322679804953e-01
1.134999999999999964e+01,4.039791620133751371e-01,8.176288049823339232e-01
1.135999999999999943e+01,4.819670411013570188e-01,7.923900277816368076e-01
1.136999999999999922e+01,5.520754311286563132e-01,7.607636710713983064e-01
1.138000000000000078e+01,6.145421555096211019e-01,7.246016111306411434e-01
1.139000000000000057e+01,6.698375107152686470e-01,6.853704590905165261e-01
1.140000000000000036e+01,7.185446246710013307e-01,6.442035712643787715e-01
1.141000000000000014e+01,7.612826555309608612e-01,6.019603484253776005e-01
1.141999999999999993e+01,7.986606326528253863e-01,5.592822334244816895e-01
1.142999999999999972e+01,8.312519143866938798e-01,5.166410138040987698e-01
1.143999999999999950e+01,8.595818587040542358e-01,4.743783919714482655e-01
1.144999999999999929e+01,8.841235841039476462e-01,4.327373863093101347e-01
1.146000000000000085e+01,9.052984340274652375e-01,3.918867461320487133e-01
1.147000000000000064e+01,9.234789844544025739e-01,3.519396834800044283e-01
1.148000000000000043e+01,9.389932610613249686e-01,3.129681196495257001e-01
